File,Time,Triangle Count
oregon1_010407,0.075,15834
oregon2_010428,0.104,78000
p2p-Gnutella05,0.049,1112
roadNet-TX,1.521,82869
p2p-Gnutella30,0.102,1590
as20000102,0.062,6584
cit-Patents,22.151,7515023
ca-CondMat,0.146,173361
soc-Slashdot0811,0.6,551724
p2p-Gnutella04,0.076,934
oregon1_010505,0.07,17597
amazon0312,2.579,3686467
oregon1_010331,0.087,17144
ca-HepPh,0.319,3678962
amazon0601,2.712,3986507
oregon2_010414,0.102,88905
roadNet-PA,1.443,67150
facebook_combined,0.213,1612010
oregon2_010512,0.107,72866
p2p-Gnutella25,0.079,806
oregon1_010526,0.075,19894
cit-HepTh,0.468,1478735
oregon2_010505,0.109,72182
oregon2_010526,0.104,89541
flickrEdges,5.799,107987357
p2p-Gnutella09,0.047,2354
soc-Epinions1,0.614,1624481
p2p-Gnutella24,0.077,986
loc-gowalla_edges,1.156,2273138
oregon1_010428,0.073,17645
loc-brightkite_edges,0.283,494728
amazon0302,0.905,717719
roadNet-CA,2.306,120676
oregon1_010512,0.078,17598
email-EuAll,0.341,267313
oregon2_010407,0.11,78138
oregon2_010331,0.102,82856
oregon2_010519,0.113,83709
email-Enron,0.293,727044
p2p-Gnutella08,0.054,2383
oregon1_010421,0.072,19108
ca-HepTh,0.081,28339
as-caida20071105,0.08,36365
p2p-Gnutella06,0.048,1142
oregon1_010414,0.074,18237
soc-Slashdot0902,0.667,602592
ca-GrQc,0.109,48260
ca-AstroPh,0.33,1351441
oregon2_010421,0.105,82129
oregon1_010519,0.073,17677
cit-HepPh,0.538,1276868
amazon0505,2.354,3951063
p2p-Gnutella31,0.153,2024
